,date,crypto,trade_price,amount,currency
0,04/05/21,ETH,2898.0,40.0,EUR
1,04/05/21,XRP,1.2212,50.0,EUR
2,04/05/21,DOGE,0.41,10.0,EUR
3,18/05/21,BTC,35214.0,300.0,EUR
4,22/05/21,BTC,30526.0,50.0,EUR
5,07/06/21,BTC,28241.0,250.0,EUR
